IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,DK10435,(HO-257) - Drivaksel høyre,1633427583,,,90,PCE,24000000,74,1,799.2,,3000,2400
TRUE,DK10436,(GSp- 201130) Drivaksel bak,1633427584,,,90,PCE,21264000,35,1,378,,2658,2126.4
TRUE,DK10439,(VO-211A) - Drivaksel høyre,1633427585,,,90,PCE,19920000,65,1,702,,2490,1992
TRUE,DK10444,(VO-132) - Drivaksel venstre,1633427586,,,90,PCE,26000000,124,1,1339.2,,3250,2600
TRUE,DK10445,"(FD-276) - Drivaksel, Ford, Framaksel høyre ",1633427587,,,90,PCE,29520000,153,1,1652.4,,3690,2952
TRUE,DK10448,"(TO-3322) - Drivaksel, ytre drivledd, ",1633427588,,,90,PCE,22080000,48,1,518.4,,2760,2208
TRUE,DK10453,"(FD-256) - Drivaksel, Ford, høyre ",1633427589,,,90,PCE,18000000,46,1,496.8,,2250,1800
TRUE,DK10458,"(FD-188)- Drivaksel, Ford, Framaksel venstre",1633427590,,,90,PCE,22400000,75,1,810,,2800,2240
TRUE,DK10459,MB-1005 -(ME178LN)- Drivaksel,1633427591,,,90,PCE,,145,1,1566,,4790,3832
TRUE,DK10463,(MB-104) Drivaksel,1633427592,,,90,PCE,,84,1,907.2,,4999,3999.2
TRUE,DK10467,(MB-135A) Drivaksel venstre,1633427593,,,90,PCE,,140,1,1512,,4500,3600
TRUE,DK10474,(MB-3182) - (ME182LR) - Drivaksel,1633427594,,,90,PCE,,203,1,2192.4,,5250,4200
TRUE,DK10482,(MB-2500) - (1614-221FRH) -Drivaksel,1633427595,,,90,PCE,,192,1,2073.6,,6500,5200
TRUE,DK10483,MB-1500 -(1614-221FLH)- Drivaksel venstre,1633427596,,,90,PCE,,192,1,2073.6,,6250,5000
TRUE,DK10484,(MB-234A) Drivaksel høyre,1633427597,,,90,PCE,,114,1,1231.2,,4250,3400
TRUE,DK10485,(MB-1919)  -(ME177L)- Drivaksel,1633427598,,,90,PCE,,140,1,1512,,4820,3856
TRUE,DK10486,(MB-103A) Drivaksel venstre,1633427599,,,90,PCE,,74,1,799.2,,2950,2360
